Pavona's Pizza Joint, 32 Sand Run Rd, Akron, OH 44313, 330-515-7080
Geraldi's, 226 Ne 3rd St, McMinnville, OR 97128, 503-506-4720
Kaleidoscope Pizzeria & Pub, 3084 Crater Lake Hwy, Medford, OR 97504, 541-291-9272
Paisans Pizzeria & Bistro, 149 S Central Ave, Medford, OR 97501, 541-625-1760
Bobbio's Pizza, 1211 S Riverside Ave, Medford, OR 97501, 541-444-0684
Jackson Creek Pizza, 317 E Main St, Medford, OR 97501, 541-299-2917
Jackson Creek Pizza, 1590 Delta Waters Rd, Medford, OR 97504, 541-502-8108
Angelo's, 2161 W Main St, Medford, OR 97501, 541-727-0937
Mortons, 980 N Phoenix Rd 105, Medford, OR 97504, 541-299-9028
The Taphouse at Nye Creek, 515 NW Coast St, Newport, OR 97365, 541-444-0305
Izzy's Pizza & Buffet, 5251 North Coast Highway, Newport, OR 97365, 541-444-3665
Cobblestone Pizza, 130 NW 19th St, Newport, OR 97365, 541-418-4388
Good Brothers Pizza, 14919 SE Stark St, Portland, OR 97233, 503-855-6307
Blackbird Pizza, 1935 SE Hawthorne Blvd, Portland, OR 97214, 503-517-9967
Schmizza Pub & Grub, 13587 NW Cornell Rd, Portland, OR 97229, 971-246-5528
Blackbird Pizza, 6214 N Interstate Ave, Portland, OR 97217, 503-406-4030
Atlas Pizza, 3570 SE Division St, Portland, OR 97202, 503-608-7440
Brick and Motor Pizza, 2222 OR-99E, Portland, OR 97212, 971-256-4987
The 1905, 830 N Shaver St, Portland, OR 97227, 503-217-2468
Atlas Pizza, 710 N Killingsworth St, Portland, OR 97217, 503-925-5246
Schmizza Pub & Grub, 628 NE Broadway St, Portland, OR 97232, 503-517-9981
Pizanos Pizza, 9970 SE Washington St, Portland, OR 97216, 503-465-4923
Pietro's Pizza, 1637 Hawthorne Ave NE, Salem, OR 97301, 503-980-4496
Eat Pizza, 545 Chemeketa St NE, Salem, OR 97301, 503-714-7715
Odd Moe's Pizza - West Salem, 1594 Edgewater St NW, Salem, OR 97304, 503-917-3889
Donatello's Pizza, 3981 Commercial St SE, Salem, OR 97302, 503-967-7670
Shotski's Woodfire Eats, 1230 State St, Salem, OR 97301, 503-864-6669
Ritter's Housemade Foods, 102 Liberty St NE Suite 100, Salem, OR 97301, 503-714-7769
Straight From New York Pizza, 233 Liberty St NE, Salem, OR 97301, 503-714-7437
Geppetto's Italian Restaurant, 616 Lancaster Dr NE, Salem, OR 97301, 503-714-7924
Christo's Pizzeria & Lounge, 1108 Broadway St NE, Salem, OR 97301, 503-694-3330
Padington's Pizza, 5255 Commercial St SE, Salem, OR 97306, 503-837-6257
Sparky's Pizza, 38966 Proctor Blvd, Sandy, OR 97055, 503-479-4784
Smoky Hearth Restaurant Bar & Grill, 16607 Champion Way Ste 100, Sandy, OR 97055, 503-406-6233
Ivy Bear Pizzeria, 54735 US-26, Sandy, OR 97055, 503-212-6134
Boomer's Wall Street Pizza, 39041 Proctor Blvd, Sandy, OR 97055, 503-213-6856
Mezza Luna Pizzeria, 115 S 5th St, Springfield, OR 97477, 541-204-3169
Joey's Pizza, 1498 S A St, Springfield, OR 97477, 541-636-9433
Ciao Pizza Trattoria, 3342 Gateway St, Springfield, OR 97477, 541-583-4588
Abella Italian Kitchen, 8309 SW Main St #200, Wilsonville, OR 97070, 503-765-8860
Perfect Pizza Company, 9460 SW Wilsonville Rd, Wilsonville, OR 97070, 503-210-9952
Boones Junction, 29720 SW Boones Ferry Rd, Wilsonville, OR 97070, 503-770-8913
Bellagios Pizza, 29702 Town Center Loop W G, Wilsonville, OR 97070, 503-770-8904
Roslyn Pizza, 2437 Susquehanna Rd, Abington, PA 19001, 215-309-9356
Goodfellas Pizzeria, 1717 Old York Rd, Abington, PA 19001, 215-392-2343
Roman Delight Abington, 1418 Old York Rd, Abington, PA 19001, 215-654-3003
Silvermoon Pizzeria Restaurant, 1366 Easton Rd, Abington, PA 19001, 215-631-8959
Riviera D'Italia, 1185 Easton Rd, Abington, PA 19001, 215-712-8817
Fox's Pizza Den, 2296 Brodhead Rd, Aliquippa, PA 15001, 724-203-4762
Pizza Masters, 2471 Brodhead Rd, Aliquippa, PA 15001, 724-257-4567
Giannis Pizza, 2284 Brodhead Rd, Aliquippa, PA 15001, 724-701-0671
Scoochs Pizza, 2049 Brodhead Rd, Aliquippa, PA 15001, 724-716-4837
Choochoo Charlie's, 1042 State Route 18, Aliquippa, PA 15001, 724-803-6052
Bettina's Italian Restaurant, 123 Chestnut St, Aliquippa, PA 15001, 814-292-1088
Breezy's Pizza, 2314 Sheffield Rd, Aliquippa, PA 15001, 724-257-4486
Giovanni's Pizza, 1001 N 19th St, Allentown, PA 18104, 610-991-8125
Slice of Italy, 5924 Tilghman St, Allentown, PA 18104, 610-686-8620
Ray's Pizza, 2302 Union Blvd, Allentown, PA 18109, 610-974-8786
Lorenzo's Pizza II, 704 W Emaus Ave, Allentown, PA 18103, 610-510-8050
Mario's Pizza Cafè, 3335 Hamilton Blvd, Allentown, PA 18103, 484-268-5036
Feasta Pizza, 2400 Schoenersville Rd, Allentown, PA 18109, 484-240-3647
Charles Pizza, 2102 Union Blvd, Allentown, PA 18109, 610-510-2214
Zio's Pizza, 4660 Broadway, Allentown, PA 18104, 610-756-2663
MaGia's Pizzeria, 1701 E Susquehanna St, Allentown, PA 18103, 610-510-7497
Primo Pizza & Grill, 2431 W Emaus Ave, Allentown, PA 18103, 610-510-7847
Milano's Pizza, 3616 William Flynn Hwy, Allison Park, PA 15101, 412-219-5178
Pasquale's Pizzeria, 2412 Ferguson Rd, Allison Park, PA 15101, 412-219-5299
Bellisario's Pizza Restaurant, 1710 Duncan Ave, Allison Park, PA 15101, 412-837-8597
Caliente Pizza & drafthouse, 4706 William Flinn hwy, Allison Park, PA 15101, 412-968-8156
Messina's Pizza & Restaurant, 4992 Middle Rd, Allison Park, PA 15101, 724-302-0589
Tomato Pie Cafe, 885 E Ingomar Rd, Allison Park, PA 15101, 412-968-8012
Monte Cello's, 4655 William Flinn Hwy, Allison Park, PA 15101, 412-968-8171
Pizzarita, 580 Burchfield Rd, Allison Park, PA 15101, 412-219-5312
Casey's Family Restaurant, 3008 William Flinn Hwy, Allison Park, PA 15101, 412-219-5173
Original Italian Pizza, 610 N 2nd St, Altoona, PA 16601, 814-949-9671
Dino's Pizza - Lower Level, 720 Logan Valley Mall, Altoona, PA 16602, 814-656-0580
Nicoletta's Family Restaurant, 1700 8th Ave, Altoona, PA 16602, 814-656-0405
Original Italian Pizza, 300 1/2 E Grant Ave, Altoona, PA 16602, 814-656-0591
Bella Italia Pizza, 328 S Logan Blvd, Altoona, PA 16602, 814-656-0465
29Th St Pizza Subs & More, 2900 5Th Ave, Altoona, PA 16602, 814-656-0459
Brothers Pizza, 1632 Pleasant Valley Blvd, Altoona, PA 16602, 814-656-0569
Mama Randazzo's Pizzeria, 1600 Broadway, Altoona, PA 16601, 814-656-0435
All Star Pizza & Subs, 2101 6Th Ave, Altoona, PA 16602, 814-414-3869
Michael's Pizzeria, 2204 4th St, Altoona, PA 16601, 814-656-0463
Frank's Pizza Kitchen, 1116 Horsham Rd, Ambler, PA 19002, 215-654-3040
Michael's Italian Restaurant & Deli, 869 W Butler Ave, Ambler, PA 19002, 215-774-3088
Ambler Pizza, 1125 South Bethlehem Pike, Ambler, PA 19002, 215-608-1934
Giuseppe's Pizza Restaurant, 46 S Bethlehem Pike, Ambler, PA 19002, 215-798-8019
From The Boot, 110 E Butler Ave, Ambler, PA 19002, 215-660-0114
The Pizza Box - Ambler, 17 W Butler Pike, Ambler, PA 19002, 215-703-2525
Blue Bell Pizza, 34 W Skippack Pike, Ambler, PA 19002, 267-440-6086
Maple Glen Pizza, 641 E Welsh Rd, Ambler, PA 19002, 215-618-9362
Ardmore Pizza, 10 Rittenhouse Pl, Ardmore, PA 19003, 610-569-9512
Bella Italia Pizza, 12 E Lancaster Ave, Ardmore, PA 19003, 610-624-6094
Original Eagle Pizza, 2343 Haverford Rd, Ardmore, PA 19003, 610-609-7545
Sam's Brick Oven Pizza, 2626 E County Line Rd, Ardmore, PA 19003, 610-609-7280
Marrone's Pizzeria, 2744 W County Line Rd, Ardmore, PA 19003, 610-609-7605
Carlino's Market, 2616 E County Line Rd, Ardmore, PA 19003, 610-609-2828
Felicia Pizza Kitchen, 18 W Lancaster Ave, Ardmore, PA 19003, 610-708-1105
Fabrizio's Italian Restaurant & Pizza, 1609 Centre St, Ashland, PA 17921, 570-520-3146
Ashland Pizzeria, 221 W Centre St, Ashland, PA 17921, 570-989-4056
Pasta House Eatery, 508 Centre St, Ashland, PA 17921, 570-989-4065
Casa Del Sole Pizza, 222 1st St, Aspinwall, PA 15215, 412-444-7040
Ephesus Pizza Aspinwall, 50 Freeport Rd, Aspinwall, PA 15215, 412-385-4251
Pasquale's Pizzeria, 309 Freeport Rd, Aspinwall, PA 15215, 412-419-2375
Manbroso's To Go, 4550 Aston Mills Rd, Aston, PA 19014, 610-854-8846
Mel's Pizza Eatery, 3520 Concord Rd, Aston, PA 19014, 484-483-7937
Marco's Pizzeria & Grill, 490 Conchester Hwy, Aston, PA 19014, 484-321-8325
Pepino's Pizza, 2901 Concord Rd, Aston, PA 19014, 610-569-9465
Tom's Pizza Place, 3223 Concord Rd, Aston, PA 19014, 610-546-7707
Aston Pizza & Steaks, 600 Convent Rd, Aston, PA 19014, 610-549-1093
Colarusso's Cafe, 725 Main St, Avoca, PA 18641, 570-908-4236
Pizzanos Pizza & Subs, 733 Main St, Avoca, PA 18641, 570-908-4244
Luigi's Pizza, 422 Main St, Avoca, PA 18641, 570-908-4185
McAlpine Pizza & Pub, 311 McAlpine St, Avoca, PA 18641, 570-908-4198
Boston Style Pizza, 298 Levering Mill Rd, Bala Cynwyd, PA 19004, 610-546-7205
Tony Roni's, 273 Montgomery Ave Fl 1, Bala Cynwyd, PA 19004, 610-660-0668
Mangia, 231 St Asaphs Rd #122, Bala Cynwyd, PA 19004, 610-549-1078
Johnnie's Restaurant & Pizza, 117 Washington Blvd, Bangor, PA 18013, 610-991-7927
Bono Pizza USA, 105 Broadway, Bangor, PA 18013, 610-839-7564
Napoli Pizza, 444 S 1st, Bangor, PA 18013, 610-839-7234
Villa Grande Pizza, 225 W Northampton St, Bath, PA 18014, 484-282-1666
Pizzaville Italian Eatery, 572 Nazareth Dr, Bath, PA 18014, 610-813-6144
Bracco's, 7596 Beth Bath Pike, Bath, PA 18014, 484-838-7928
Panno's Home of The 18 Inch, 7200 Airport Rd, Bath, PA 18014, 484-725-6323
My Place Pizza Restaurant, 270 E Northampton St, Bath, PA 18014, 610-839-8170
Isabella's Pizza, 5958 Nor Bath Blvd, Bath, PA 18014, 610-839-7959
Fox's Pizza Den, 464 3rd St, Beaver, PA 15009, 724-888-2535
Vic's Oven, 212 Bridge St, Beaver, PA 15009, 724-202-0765
B W's Pizza, 4790 Tuscarawas Rd, Beaver, PA 15009, 724-202-0519
Mario's Woodfired Pizzeria, 594 3rd St, Beaver, PA 15009, 724-307-4055
Pizza Roma & Pasta House, 2556 Constitution Blvd, Beaver Falls, PA 15010, 724-790-2213
Yolanda's, 2228 Darlington Rd, Beaver Falls, PA 15010, 724-384-6141
D & G Pizza, 1818 7th Ave #A, Beaver Falls, PA 15010, 724-384-6053
Fox's Pizza Den, 9503 Lincoln Hwy, Bedford, PA 15522, 814-310-2422
Horn O Plenty, 220 Wolfsburg Rd, Bedford, PA 15522, 814-212-4133
Mile Level Pizza & Sub Shop, 9580 Lincoln Hwy, Bedford, PA 15522, 814-212-4120
Original Italian Pizza Restaurant, 110 W Pitt St, Bedford, PA 15522, 814-212-5175
Fox's Pizza Den, 430 Willowbrook Plaza, Belle Vernon, PA 15012, 724-379-5001
Armando's Pizza, 201 Tyrol Blvd, Belle Vernon, PA 15012, 724-305-2672
Campys Pizza & 6 Pack Shop, 119 PA-88, Belle Vernon, PA 15012, 724-314-4215
Jake's Pizza, 1745 Rostraver Rd, Belle Vernon, PA 15012, 724-305-2205
Jake's Pizza, 428 Broad Ave, Belle Vernon, PA 15012, 724-314-4207
Pizza Mia, 106 N Spring St, Bellefonte, PA 16823, 814-409-7763
The Blonde Bistro, 135 S Allegheny St, Bellefonte, PA 16823, 814-264-3382
Maria's Italian Restaurant & Pizza, 202 Water St, Bellefonte, PA 16823, 814-264-3454
Mamma Lucrezia's, 136 S Allegheny St, Bellefonte, PA 16823, 814-264-3571
Brother's, 102 N Allegheny St, Bellefonte, PA 16823, 814-264-3519
Brother's Pizza, 783 S Eagle Valley Rd, Bellefonte, PA 16823, 814-264-3526
Brothers Pizza, 250 Nittany Valley Dr, Bellefonte, PA 16823, 814-264-3363
Lincoln Avenue Pizza, 601 Lincoln Ave, Bellevue, PA 15202, 412-515-8971
Pizza Station, 501 Lincoln Ave, Bellevue, PA 15202, 412-906-4660
Maxwell's Pizza, 4500 Ohio River Blvd Pittsburgh, Bellevue, PA 15202, 412-515-3103
R & B's Pizza Place, 421 Lincoln Ave, Bellevue, PA 15202, 412-219-5193
Pizza Ephesus, 616 Lincoln Ave, Bellevue, PA 15202, 412-218-3406
Lincoln South Food Hall, 500 Bellevue Way NE Ste 250, Bellevue, PA 98004, 425-250-9463
Sarappo's Pizza, 3328 Bristol Rd, Bensalem, PA 19020, 215-375-7138
All Star Pizza, 2345 Street Rd, Bensalem, PA 19020, 215-608-1604
The Valley Pizza, 5421 Neshaminy Blvd, Bensalem, PA 19020, 215-608-0366
Diana's Pizza & Restaurant, 2367 Pasqualone Blvd, Bensalem, PA 19020, 215-876-0330
Sofiabella Pizzeria, 2216 Street Rd, Bensalem, PA 19020, 215-608-2607
Luca Pizza, 1030 Bristol Pike, Bensalem, PA 19020, 267-520-6104
Randazzo's Pizza, 4568 Bensalem Blvd, Bensalem, PA 19020, 215-245-1616
Old Friends Pizza, 3665 Hulmeville Rd, Bensalem, PA 19020, 215-608-1334
Apollo's Family Pizzeria, 2255 Bristol Pike, Bensalem, PA 19020, 215-600-1472
Napoli's Pizzeria, 2636 Bristol Pike, Bensalem, PA 19020, 215-337-2046
Bob's Subs & Pizza, 200 W 2nd St, Berwick, PA 18603, 570-520-3127
King's Pizzeria, 114 W Front St, Berwick, PA 18603, 570-520-3441
Scicchitano's Pizzeria, 1700 N Market St, Berwick, PA 18603, 570-520-3166
Original Italian Pizza, 2010 W Front St, Berwick, PA 18603, 570-520-3099
Stuccio's Pizzeria, 826 W Front St, Berwick, PA 18603, 570-520-3154
East End Pizzeria, 407 Walnut St, Berwick, PA 18603, 570-520-3636
30 Main Bistro, 660 Lancaster Ave, Berwyn, PA 19312, 610-549-4793
Berwyn Pizza, 1026 Lancaster Ave, Berwyn, PA 19312, 610-854-8904
Bravissimo Pizza & Pasta, 558 Lancaster Ave, Berwyn, PA 19312, 610-679-8530
Phil's Famous Pizza & Steaks, 521 Lancaster Ave, Berwyn, PA 19312, 610-679-8997
Danny's Pizza, 5159 Library Rd, Bethel Park, PA 15102, 412-312-3488
Pittzarella, 5816 Library Rd, Bethel Park, PA 15102, 412-568-3991
Trolley Stop Inn, 6247 Library Rd, Bethel Park, PA 15102, 412-283-5065
Don Campiti's Pizzeria In Bethel Park, 4603 Library Rd #120, Bethel Park, PA 15102, 412-283-5081
Luciano's Pizza & Pasta, 1030 Clifton Rd, Bethel Park, PA 15102, 412-283-5080
Olive Oils Pizzeria & More, 4966 Library Rd, Bethel Park, PA 15102, 412-283-5085
Patsy's Place, 5812 Library Rd, Bethel Park, PA 15102, 412-307-3431
Red Onion Hoagies & Pizza, 2925 South Park Rd, Bethel Park, PA 15102, 412-218-3474
Pasta Too, 5260 Library Rd, Bethel Park, PA 15102, 412-419-2426
The Old Bridge, 2822 South Park Rd, Bethel Park, PA 15102, 412-312-3564
Broad St Pizzeria, 516 W Broad St, Bethlehem, PA 18018, 610-991-8589
Feasta Pizza III, 3820 Freemansburg Ave, Bethlehem, PA 18020, 484-895-1555
Bella Pizza, 2509 Willow Park Rd, Bethlehem, PA 18020, 610-298-0572
Fratelli Pizza Cafe, 1230 N New St, Bethlehem, PA 18018, 610-839-8409
Areli's Italian Restaurant, 1798 Broadway, Bethlehem, PA 18015, 484-893-4803
50 Yard Line Sports Bar @ Pizza Como, 2626 Easton Ave, Bethlehem, PA 18017, 610-421-9995
Stefko Pizza, 2115 Stefko Blvd, Bethlehem, PA 18017, 610-298-0209
Good Times Pizzeria, 2114 Schoenersville Rd, Bethlehem, PA 18018, 610-991-7427
Verona Pizza, 2980 Linden St, Bethlehem, PA 18017, 484-895-1389
Anna's Brick Oven Pizza, 313 S New St, Bethlehem, PA 18015, 610-298-9910
Island Pizza, 3060 Limekiln Rd, Birdsboro, PA 19508, 610-850-0774
Sal's Pizza Style, 401 E 1St St, Birdsboro, PA 19508, 610-850-0864
Italian Delite Restaurant & Bar, 113 E Main St, Birdsboro, PA 19508, 610-850-0814
Vinnie's Pizzeria & Restaurant, 209 N Furnace St, Birdsboro, PA 19508, 610-850-0667
Original Italian Pizza, 452 East St, Bloomsburg, PA 17815, 570-671-0049
Naps Pizza, 319 East St, Bloomsburg, PA 17815, 570-520-3587
Frank's Pizza Trattoria, 134 E Main St, Bloomsburg, PA 17815, 570-740-3097
Tri Pi Pizzeria, 55 E Main St, Bloomsburg, PA 17815, 570-740-3252
Frank's Pizza, 1742 Dekalb Pike, Blue Bell, PA 19422, 610-981-1874
From The Boot, 1502 Dekalb Pike, Blue Bell, PA 19422, 610-854-8289
Palermo's Pizza, 1016 Dekalb Pike, Blue Bell, PA 19422, 610-947-4543
Whitpain Tavern, 1529 Dekalb Pike, Blue Bell, PA 19422, 610-569-0530
Carmelo's Pizza, 116 E Philadelphia Ave, Boyertown, PA 19512, 610-569-9795
Mamma Maria's Restaurant & Pizzeria, 540 E Philadelphia Ave, Boyertown, PA 19512, 610-569-9901
Mario's Pizza, 159 S Reading Ave, Boyertown, PA 19512, 610-569-9696
Josh's Pizza, 51 E 2nd St, Boyertown, PA 19512, 610-569-9457
Giovanni's Cafe & Pizzeria, 1306 Reading Ave, Boyertown, PA 19512, 610-569-9935
Argento's Pizza & Family Restaurant, 1306 E Philadelphia Ave, Boyertown, PA 19512, 610-569-9595
Fox's Pizza Den, 444 E Main St, Bradford, PA 16701, 814-817-2908
Pizza Napoli & Restaurant, 147 W Washington St, Bradford, PA 16701, 814-313-6764
Tasta Pizza, 508 E Main St, Bradford, PA 16701, 814-212-5808
A Slice Of The 80s, 19 Congress St, Bradford, PA 16701, 814-331-4910
Dino's Pizza & Pasta, 101 E 4th St, Bridgeport, PA 19405, 610-546-2514
Nonna Rosa Pizzeria, 61 E 4th St, Bridgeport, PA 19405, 610-546-2871
Franzone's Pizzeria, 501 Dekalb St, Bridgeport, PA 19405, 484-868-9379
Bridgeport Pizza, 1 East 4th Street, Bridgeport, PA 19405, 484-685-4425
Pizza Salerno, 510 Station St, Bridgeville, PA 15017, 412-274-7132
Country Style Pizza, 536 Dewey Ave , Bridgeville, PA 15017, 412-837-8234
Cucina Bella, 1200 Pennsylvania Ave, Bridgeville, PA 15017, 412-504-7437
Big Guys Pizza, 435 Bower Hill Rd, Bridgeville, PA 15017, 412-504-7352
Burgh's Pizza & Wing Pub, 533 Washington Ave, Bridgeville, PA 15017, 412-504-7981
Serafina's Pizza, 423 Railroad St, Bridgeville, PA 15017, 412-504-7372
Napoli Restaurant, 1155 Washington Pike, Bridgeville, PA 15017, 412-504-7365
Bee'z Bistro & Pub, 3249 Washington Pike, Bridgeville, PA 15017, 412-504-7326
Steel City Pizza & Pasta Cafe, 614 Washington Ave, Bridgeville, PA 15017, 412-504-7963
Pizza Town & Grill, 1500 Farragut Ave, Bristol, PA 19007, 215-607-2462
Italian Family Pizzeria, 689 2nd Ave, Bristol, PA 19007, 215-515-6180
Gabriela Tomato Pie, 900 Jefferson Ave, Bristol, PA 19007, 215-960-9753
Carnival III Pizza, 215 Mill St, Bristol, PA 19007, 215-874-4526
Little Rocky's Pizza, 3037 Ford Rd, Bristol, PA 19007, 215-330-2387
Porfirio's Pizza & Pasta, 388 Bristol Pike, Bristol, PA 19007, 215-607-6303
Itri Wood Fired Pizza Bar, 310 Mill St, Bristol, PA 19007, 215-608-2987
Pop's Pizza, 1309 Veterans Hwy #A, Bristol, PA 19007, 215-826-3330
Apollo Pizza Bar & Restaurant, 1834 Farragut Ave, Bristol, PA 19007, 215-709-7729
Cesare's Ristorante, 1407 Radcliffe St, Bristol, PA 19007, 215-795-5027
Cocco's Pizza - Brookhaven, 4619 Edgmont Ave, Brookhaven, PA 19015, 610-486-7723
Mr Wings Pizza & Grill, 3560 Edgmont Ave, Brookhaven, PA 19015, 610-624-8779
Abruzzi Pizza, 4011 Edgmont Ave, Brookhaven, PA 19015, 610-549-1108
Rize Pizza, 1991 Sproul Rd, Broomall, PA 19008, 610-624-8409
Rocky's Pizza & Grille, 2616 W Chester Pike, Broomall, PA 19008, 610-624-8357
The Original Thunderbird, 2323 W Chester Pike, Broomall, PA 19008, 610-981-2421
Soprano's Trattoria & Caterers, 3072 West Chester Pike, Broomall, PA 19008, 610-490-8660
Laxmi's Indian Grille & Pizza, 2537 W Chester Pike, Broomall, PA 19008, 610-353-5353
Country Squire Diner Restaurant & Bakery, 2560 W Chester Pike, Broomall, PA 19008, 484-326-3093
Joe's Pizza And Restaurant, 38 S Sproul Rd, Broomall, PA 19008, 610-546-7897
Drexel Hill Style Pizza, 2585 West Chester Pike, Broomall, PA 19008, 610-546-7887
Alfredo's Pizza, 2900 W Chester Pike, Broomall, PA 19008, 610-679-8986
Italian Delite, 2052 Sproul Rd, Broomall, PA 19008, 610-569-9660
Pizzarella Grille, 958 County Line Rd, Bryn Mawr, PA 19010, 484-222-5387
Sun Valley Pizza & Catering, 602 Lancaster Ave, Bryn Mawr, PA 19010, 610-580-2072
Zesto Pizza & Grill, 908 Conestoga Rd, Bryn Mawr, PA 19010, 610-609-7606
Pizzi's Pizza & Beer, 1025 W Lancaster Ave, Bryn Mawr, PA 19010, 610-816-6438
Conestoga Style Pizza, 905 Conestoga Rd, Bryn Mawr, PA 19010, 484-297-7244
Lovecchio's Pizza, 192 Landover Road, Bryn Mawr, PA 19010, 610-816-6068
Sontuosa BYOB, 26 N Bryn Mawr Ave, Bryn Mawr, PA 19010, 484-685-3094
Sessano at Garrett Hill Pizza, 910 Conestoga Rd, Bryn Mawr, PA 19010, 610-580-2145
Fraschetta, 816 Lancaster Ave, Bryn Mawr, PA 19010, 610-569-0799
Flip & Bailey's, 900 Conestoga Rd, Bryn Mawr, PA 19010, 610-708-1649
Fox's Pizza Den, 505 Hansen Ave, Butler, PA 16001, 724-841-0369
Mickey's Pizza, 92 Race St, Butler, PA 16001, 724-257-4578
Herman Mini Mart, 816 Herman Rd, Butler, PA 16002, 724-826-4166
Pizza Pie, 572 Evans City Rd, Butler, PA 16001, 724-671-2152
Pizza Pie, 1734 N Main Street Ext, Butler, PA 16001, 724-257-4561
Villa Grande Restaurant, 183 New Castle Rd, Butler, PA 16001, 724-888-5264
Hardwood Cafe, 646 Pittsburgh Rd, Butler, PA 16002, 724-257-3041
Tani's Pizza, 100 Mercer St, Butler, PA 16001, 724-257-4432
Anna Maria's Pizza & More, 113 Freeport Rd, Butler, PA 16002, 724-901-6275
Pizza Plus, 206 New Castle Rd, Butler, PA 16001, 724-269-8470
Cedar Cliff Pizza, 1055 Carlisle Rd, Camp Hill, PA 17011, 717-798-8803
Roberto's Pizza, 2000 Market St, Camp Hill, PA 17011, 717-737-7195
Zag's Pizza, 2201 Market St, Camp Hill, PA 17011, 717-297-0193
West Shore Pizza & Subs, 1104 Carlisle Rd, Camp Hill, PA 17011, 717-610-6699
Two Cousins Pizza, 32 Erford Rd, Camp Hill, PA 17011, 717-801-1207
Thatz'A Pizza, 3800 Trindle Rd, Camp Hill, PA 17011, 717-610-6807
Express Pizza Stop, 3625 Simpson Ferry Rd, Camp Hill, PA 17011, 717-502-9358
Cork & Fork Osteria, 4434 Carlisle Pike, Camp Hill, PA 17011, 717-610-6298
Nikoli's Pizza & Catering, 3904 Gettysburg Rd, Camp Hill, PA 17011, 717-502-9554
Pizza Grille, 3817 Gettysburg Rd, Camp Hill, PA 17011, 717-502-9623
Vincent's Southpointe, 673 Morganza Rd, Canonsburg, PA 15317, 724-246-6218
Ollies Pizza, 1009 Waterdam Plaza Dr, Canonsburg, PA 15317, 724-257-4430
Fiori's Pizzeria, 3801 Washington Rd, Canonsburg, PA 15317, 724-503-6256
Big Fella's Pizza Deli & Wings, 47 E Pike St, Canonsburg, PA 15317, 724-305-2813
Bados Cucina, 3825 Washington Rd, Canonsburg, PA 15317, 724-305-2196
Pizza Al's, 3504 Washington Rd, Canonsburg, PA 15317, 724-305-2770
Arleo's Pizza, 800 1st St, Canonsburg, PA 15317, 724-305-2728
Pizza John's, 328 N Hanover St, Carlisle, PA 17013, 717-502-9972
Brad's Pizza, 1548 Spring Rd, Carlisle, PA 17013, 717-502-9487
Seve N Dots, 40 E Louther St, Carlisle, PA 17013, 717-502-9436
Pizza Grille, 1007 Ritner Hwy, Carlisle, PA 17013, 717-502-9581
Miseno II Pizzeria & Italian, 598 W High St, Carlisle, PA 17013, 717-502-9567
Vinny Restaurant Pizza & Subs, 330 S Hanover St, Carlisle, PA 17013, 717-502-9649
George's Subs & Pizza, 121 W High St, Carlisle, PA 17013, 717-506-5631
Al's Pizza & Subs, 40 Noble Blvd, Carlisle, PA 17013, 717-610-6692
Miseno Pizza & Restaurant, 1225 Ritner Hwy, Carlisle, PA 17013, 717-610-6645
Pizza Americana, 1917 E Railroad St, Carnegie, PA 15106, 412-376-4824
Tomatoes II Pizzeria, 1069 Washington Ave, Carnegie, PA 15106, 412-745-7474
Raya's Pizzeria, 401 E Main St, Carnegie, PA 15106, 412-424-6815
Slice On Broadway, 108 E Main St, Carnegie, PA 15106, 412-419-3457
Portofino's Pizza, 513 W Main St, Carnegie, PA 15106, 412-278-7632
Alexions Bar & Grill, 141 Hawthorne St, Carnegie, PA 15106, 412-218-3238
Rennerdale Corner Store, 148 Noblestown Rd, Carnegie, PA 15106, 412-275-5147
The Coal Mine, 3160 Library Rd, Castle Shannon, PA 15234, 412-274-7119
The Pizza Company, 4101 Library Rd, Castle Shannon, PA 15234, 412-283-5058
Calabria's, 3107 Library Rd, Castle Shannon, PA 15234, 412-387-5004
Catty Pizza, 501 2nd St, Catasauqua, PA 18032, 610-686-8633
Pizza D'oro, 1492 Main St, Catasauqua, PA 18032, 610-298-9087
The Catty Corner Neighborhood Pub & Pie, 301 Mulberry St, Catasauqua, PA 18032, 610-686-8617
Pies On Pizzia Bistro & Market, 601 Front St, Catasauqua, PA 18032, 610-686-8715
Blue Monkey Sports Bar & Restaurant, 1094 Howertown Rd, Catasauqua, PA 18032, 610-686-8732
Double Decker Pizza, 220 Wilmington West Chester Pike, Chadds Ford, PA 19317, 610-400-1942
Concord Steaks, 257 Wilmington W Chester Pike, Chadds Ford, PA 19317, 610-679-8290
La Mia Pizzeria, 330 Kennett Pike,, Chadds Ford, PA 19317, 484-938-1649
Leonardo's Pizza, 19 W Butler Ave, Chalfont, PA 18914, 215-709-8160
Lucas Pizza, 3324 Limekiln Pike, Chalfont, PA 18914, 215-253-7280
Dominick's Pizza of Chalfont, 3337 County Line Rd, Chalfont, PA 18914, 215-874-6673
Pina's Pizzeria, 215 E Butler Ave, Chalfont, PA 18914, 215-654-3035
Randazzo's Brick Oven Pizza, 4275 County Line Rd, Chalfont, PA 18914, 215-712-8668
Randazzo's Pizzeria-Chalfont, 202 County Line Rd 157, Chalfont, PA 18915, 215-398-7757
Brother's Pizza Chambersburg, 1643 Lincoln Way E, Chambersburg, PA 17202, 717-296-1238
