Valentino's Pizzeria & Restaurant, 71-47 Kissena Blvd, Queens, NY 11367, 718-514-2943
Rosa's Pizzeria Restaurant, 178 W Merrick Rd, Valley Stream, NY 11580, 516-699-1942
Ancona Pizzeria & Heroes, 200 Rockaway Ave, Valley Stream, NY 11580, 516-309-4894
Eddie D's Pizzeria, 367 N Central Ave, Valley Stream, NY 11580, 516-219-9169
Family Pizzeria, 130 Mill Rd, Valley Stream, NY 11581, 516-219-9902
Pomodorino Rosso, 47 Franklin Ave, Valley Stream, NY 11580, 516-219-1733
DeTomaso's Pizzeria, 120 Phoenix Mills Plz, Victor, NY 14564, 585-229-6566
Sicilian Delight, 687 Eastview Mall Drive, Victor, NY 14564, 585-598-4224
City Tavern, 7635 St Route 96, Victor, NY 14564, 585-366-8582
Otto Tomotto’s, 6385 NY-96 #200, Victor, NY 14564, 585-617-0414
Lucca Wood Fire Bistro, 90 W Main St, Victor, NY 14564, 585-366-8589
Salvatore's Old Fashioned Pizzeria, 165 West Main St, Victor, NY 14564, 585-366-8591
Wading River Pizzeria, 6324 Route 25 A, Wading River, NY 11792, 631-769-2014
Pazzo Ristorante and Wood Fired Pizzeria, 6278 NY-25A, Wading River, NY 11792, 631-203-1596
Brezza Pizza Kitchen, 5768 Route 25A, Wading River, NY 11792, 631-816-2086
Giuseppe's Pizzeria Restaurant, 1 Main St, Walden, NY 12586, 845-253-5351
Franco's Pizzeria & Italian Restaurant, 74 Oak St, Walden, NY 12586, 845-253-4676
Lillo's Pizza, 1824 67 Main St, Walden, NY 12586, 845-253-4855
Guido's Pizza Parlor, 35 E Main St #3, Walden, NY 12586, 845-261-1205
Mary's Pizza, 3453 Merrick Rd, Wantagh, NY 11793, 516-588-5997
Phil's Pizzeria & Restaurant, 1378 Wantagh Ave, Wantagh, NY 11793, 516-279-3575
I Love Pizza, 3060 Merrick Rd, Wantagh, NY 11793, 516-243-8404
Prince Umberto Pizzeria, 1910 Wantagh Ave, Wantagh, NY 11793, 516-262-5701
Tavolo Kitchen + Pizza, 1919-1921 Wantagh Ave, Wantagh, NY 11793, 516-260-4537
Umberto's Pizzeria & Restaurant, 1180 Wantagh Ave, Wantagh, NY 11793, 516-590-0699
Joe Cristiano's Pizza, 1289 US 9, Wappingers Falls, NY 12590, 845-444-3141
Pizza Time Restaurant, 850 NY-376, Wappingers Falls, NY 12590, 845-318-1174
Antonella's Pizzeria & Restaurant, 1830 South Rd, Wappingers Falls, NY 12590, 845-795-3629
Romanelli's Restaurant & Pizzeria, 1490 US 9, Wappingers Falls, NY 12590, 845-318-1220
Bella Italia Restaurant, 1605 US 9 12590, Wappingers Falls, NY 12590, 845-297-5000
Alley Kat, 1677 Route 9, Wappingers Falls, NY 12590, 845-253-9286
Giacomo's, 942 NY-376 #7, Wappingers Falls, NY 12590, 845-253-5856
Robbies Too Deli & Pizza, 8 Chelsea Ridge Dr, Wappingers Falls, NY 12590, 845-261-0951
Giacomo's Pizza Cafe, 1571 Route 9, Wappingers Falls, NY 12590, 218-228-3921
Leo's Restaurant & Pizzeria, 1475 Route 9D, Wappingers Falls, NY 12590, 845-582-7154
Frank's Pizza, 64 Main St, Warwick, NY 10990, 845-263-3449
Fratello Brick Oven, 22 Spring St, Warwick, NY 10990, 845-547-0545
Franico's Pizzeria And Take Out Trattoria, 25 Elm St, Warwick, NY 10990, 845-422-8467
Benitos Pizzeria & Cafe, 32 Ronald Reagan Blvd, Warwick, NY 10990, 845-762-3128
Brother Bruno Pizza, 40 Brotherhood Plaza Dr, Washingtonville, NY 10992, 845-245-6230
F & J Pizzeria, 7 Goshen Ave, Washingtonville, NY 10992, 845-517-1776
Gigi's, 167 E Main St, Washingtonville, NY 10992, 845-237-3656
F-n-A Rhythm & Booze, 3 S Virginia St, Waterloo, NY 13165, 315-873-3512
Ciccino's Pizzeria, 22 E Main St, Waterloo, NY 13165, 315-873-2560
Pat's Pizzeria, 1963 Kingdom Plaza, Waterloo, NY 13165, 315-873-2950
PieZano's Pizza, 1322 Washington St, Watertown, NY 13601, 315-284-3164
Papa Tino's Pizzeria, 716 Mill St, Watertown, NY 13601, 315-284-3323
Original Italian Pizza, 222 N Massey St, Watertown, NY 13601, 315-284-3239
Pete's Trattoria, 111 Breen Ave, Watertown, NY 13601, 315-284-3479
Art's Jug, 820 Huntington St, Watertown, NY 13601, 315-284-3507
Bernardo's Pizzeria, 702 Coffeen St, Watertown, NY 13601, 315-284-5199
WV Pizza, 301 25th St, Watervliet, NY 12189, 518-380-2819
3 Brothers Pizza, 1615 Broadway, Watervliet, NY 12189, 518-941-8278
Giuseppe's Pizzeria & Deli, 450 3rd Ave, Watervliet, NY 12189, 518-629-0079
Valente's Restaurant, 315 8th St, Watervliet, NY 12189, 518-244-8644
Rusty’s, 2311 2nd Ave, Watervliet, NY 12189, 518-430-5750
Purple Pub, 2 Cohoes Rd, Watervliet, NY 12189, 518-941-8280
Michael's, 229 23rd St, Watervliet, NY 12189, 518-501-1495
Jerlando's Ristorante & Pizza Company, 400 N Franklin St, Watkins Glen, NY 14891, 607-533-2754
Atlas Brick Oven Pizzeria, 308 N Franklin St, Watkins Glen, NY 14891, 607-228-2873
Scuteri's Cannoli Connection, 409 E 4th St, Watkins Glen, NY 14891, 607-246-2910
Carl's Pizza Kitchen, 9 South Ave, Webster, NY 14580, 585-366-8911
Pontillo's Pizzeria, 807 Ridge Rd, Webster, NY 14580, 585-371-5725
The Beer Hall Grill & Taps, 1517 Empire Blvd, Webster, NY 14580, 585-366-8566
La Bella Vita, 2126 Empire Blvd, Webster, NY 14580, 585-366-8583
Caraglio's Pizza, 2186 Empire Blvd, Webster, NY 14580, 585-366-8656
Martino's Pizzeria, 160 W Main St, Webster, NY 14580, 585-366-8758
Coliseum Pizza Roma, 696 Ridge Rd, Webster, NY 14580, 585-563-8431
Rubino's Italian Submarines, 37 E Main St, Webster, NY 14580, 585-366-8659
Rhino's Pizzeria, 85 Donovan St, Webster, NY 14580, 585-257-0859
The Lake Road Country Store, 1319 Lake Rd, Webster, NY 14580, 585-366-8622
Albert's Pizza, 419 Great East Neck Rd, West Babylon, NY 11704, 631-714-2067
Miceli Brothers Pizzeria Restaurant, 1030 Little E Neck Rd N, West Babylon, NY 11704, 631-387-4071
Gino's Pizzeria of West Babylon, 90 Route 109, West Babylon, NY 12804, 631-201-4563
Alfredo's Pizza, 134 Route 109, West Babylon, NY 11704, 631-321-1199
Morellis Pizza & Gyros, 742 Belmont Ave, West Babylon, NY 11704, 631-491-7169
Cafe Gio, 761 Sunrise Hwy, West Babylon, NY 11704, 631-651-6135
Giovanni's Pizza, 1009 Little E Neck Rd, West Babylon, NY 11704, 631-449-7225
Alitalia Pizzeria & Restaurant, 999 W Montauk Hwy, West Babylon, NY 11704, 631-609-4666
Nunzios Pizza Town, 751 Route 109, West Babylon, NY 11704, 631-201-0272
Brunello's Pizza & Pasta, 929 Little East Neck Rd, West Babylon, NY 11704, 631-449-7421
3 Boys From Italy, 32 Samsondale Plaza, West Haverstraw, NY 10993, 845-643-1030
C & R Deli & Pizza, 87 Samsondale Ave, West Haverstraw, NY 10993, 845-547-1264
Marcella's Pizza, 61 S Route 9W, West Haverstraw, NY 10993, 845-241-8720
Sauly's Pizza, 239 Nassau Blvd, West Hempstead, NY 11552, 516-252-3448
LaRosa's Pizzeria & Restaurant, 504 Hempstead Turnpike, West Hempstead, NY 11552, 516-514-3624
Hunki's Kosher Pizza, 338 Hempstead Ave, West Hempstead, NY 11552, 516-500-7835
Our Little Italy Pizza & Pasta, 636 Union Blvd, West Islip, NY 11795, 631-496-1245
Crispino's Pizzeria, 159 Higbie Ln, West Islip, NY 11795, 631-865-0887
Bella Cucina Pizzeria Restaurant, 424 Montauk Hwy, West Islip, NY 11795, 631-619-7640
Mona Lisa of long Island, 5 Udall Rd, West Islip, NY 11795, 631-587-1172
Cafe Europa, 504 Union Blvd, West Islip, NY 11795, 631-994-3031
TKS Pizza, 3815 Clinton St, West Seneca, NY 14224, 716-221-8689
Chubby's Pizza, 16 French Lea Rd, West Seneca, NY 14224, 716-325-1463
One Pie Pizza Co, 2185 Clinton St, West Seneca, NY 14206, 716-272-0779
Nino's Pizza, 1737 Orchard Park Rd, West Seneca, NY 14224, 716-271-7490
Leo's Pizzeria, 2220 Southwestern Blvd, West Seneca, NY 14224, 716-217-6810
LT's Pizza & Subs, 2916, 1311 Union Rd, West Seneca, NY 14224, 716-210-6305
Ferro's Famous Ny Pizza, 3521 Seneca St, West Seneca, NY 14224, 716-271-7257
Di Carlo's Pizzeria (ex Milano's Pizzeria), 894 Old Country Rd, Westbury, NY 11590, 516-548-2618
Toskana Pizzeria Restaurant, 163 Post Ave, Westbury, NY 11590, 516-309-4998
Vito's Pizzeria, 800 Carman Ave, Westbury, NY 11590, 516-260-4244
Pizza Cucina, 625 Old Country Rd, Westbury, NY 11590, 516-219-1928
Venere Restaurant, 841 Carman Ave, Westbury, NY 11590, 516-342-4847
Broadway Pizzeria, 616 N Broadway, White Plains, NY 10603, 347-354-5863
Mario's Pizza Restaurant, 118 Mamaroneck Ave, White Plains, NY 10601, 914-295-0730
Lombardo's Pizza, 1205 Mamaroneck Ave, White Plains, NY 10605, 914-352-8203
Famous Famiglia Pizza, 48 Mamaroneck Ave, White Plains, NY 10601, 914-920-2136
Pizza Cucina, 102 W Post Road, White Plains, NY 10606, 914-506-5418
Melt Sandwich Shop, 277 Mamaroneck Ave, White Plains, NY 10605, 914-358-1364
Via Veneto 26 Trattoria, 8 City Place, White Plains, NY 10601, 914-290-5716
Via Garibaldi, 1 N Broadway, White Plains, NY 10601, 914-618-5274
DOM & Vinnie's Pizzeria, 1165 Knollwood Rd, White Plains, NY 10603, 914-368-7800
Euro Pizza, 120 E Post Rd, White Plains, NY 10601, 914-873-1364
Joe's Pizza, 1205 117 Main St, Whitesboro, NY 13492, 315-737-4046
Franco's Pizza, 34 Oriskany Blvd #12, Whitesboro, NY 13492, 315-533-4278
Utica Pizza Company, 131 Oriskany Blvd, Whitesboro, NY 13492, 315-897-5563
Gigi's Pizzeria, 2009 Francis Lewis Blvd, Whitestone, NY 11357, 717-925-3757
Cascarino's Pizza, 152-59 10th Ave, Whitestone, NY 11357, 718-705-4412
Pizza Chef, 153-81 Cross Island Pkwy, Whitestone, NY 11357, 719-454-8894
Patsy's Pizzeria, 21-64 Utopia Pkwy, Whitestone, NY 11357, 718-412-0299
The Blvd, 19-11 Francis Lewis blvd, Whitestone, NY 11357, 218-380-6812
Cafe Rustico, 726 149th St, Whitestone, NY 11357, 215-826-3242
Parkway Pizza, 19-7 Utopia Pkwy, Whitestone, NY 11357, 717-775-6713
Freddy's Pizzeria, 1266 150Th St, Whitestone, NY 11357, 715-443-4348
Muscarella's Pizza, 5526 Main St, Williamsville, NY 14221, 716-271-5872
Bocce Club Pizza, 1614 Hopkins Rd, Williamsville, NY 14221, 716-271-5602
Pizza Plant Italian Pub, 7770 Transit Rd, Williamsville, NY 14221, 716-219-2720
Santora's Pizza Pub & Grill, 2923, 1402 Millersport Hwy, Williamsville, NY 14221, 716-217-6937
Giancarlo’s Sicilian Steakhouse, 5110 Main St Ste 125, Williamsville, NY 14221, 716-271-0537
Rizotto Italian Eatery & Sweetery, 930 Maple Rd, Williamsville, NY 14221, 716-272-1680
Santora's Pizza Pub & Grill, 7800 Transit Rd, Williamsville, NY 14221, 716-221-3993
Andiamo Takeout Bistro, 545 W Klein Rd, Williamsville, NY 14221, 716-221-3964
LaPorta's Pizzeria, 485 W Klein Rd, Williamsville, NY 14221, 716-221-8435
Sorrentino's Spaghetti House, 5640 Main St, Williamsville, NY 14221, 716-221-8393
Frantoni's Pizza & Restaurant, 66 Hillside Ave, Williston Park, NY 11596, 516-874-6194
Angelina's, 29 Hillside Ave, Williston Park, NY 11596, 516-289-9580
Positano Brickoven Pizza, 406 Hillside Ave, Williston Park, NY 11596, 516-309-4819
Cousin's Pizza, 1815 NY-22, Wingdale, NY 12594, 845-237-5022
Cousins Woodfire Pizza Cafe, 1726 State Route 22, Wingdale, NY 12594, 845-205-7632
Wingdale Pizza Express, 1468 NY-22, Wingdale, NY 12594, 845-384-1197
Frantoni's Pizza & Restaurant, 8025 Jericho Tpke, Woodbury, NY 11797, 516-217-4324
Butera's of Woodbury, 7903 Jericho Turnpike, Woodbury, NY 11797, 516-496-3633
Your Hideaway, 141 Woodbury Rd, Woodbury, NY 11797, 516-260-5479
Sal's Pizzeria, 85-07 Jamaica Ave, Woodhaven, NY 11421, 347-647-2619
Prima Pizza, 92-15 Jamaica Ave, Woodhaven, NY 11421, 516-218-5442
Joe's Pizza, 95-08 Jamaica Ave, Woodhaven, NY 11421, 347-230-9208
Pizza Spot NYC, 8638 96th St, Woodhaven, NY 11421, 717-276-8365
Lane Pizzeria, 7519 Jamaica Ave, Woodhaven, NY 11421, 718-866-4656
Woodside Pizza Restaurant, 44-06 60th St, Woodside, NY 11377, 718-268-6334
Casa Theodoro, 54 -18 31st Ave, Woodside, NY 11377, 347-756-6248
Pizza Boy II - Woodside, 5819 Woodside Ave, Woodside, NY 11377, 917-300-0219
Gino's Pizzeria, 39-63 61st St, Woodside, NY 11377, 347-826-1663
Daro's Pizza & Chicken, 68-14 Roosevelt Ave, Woodside, NY 11377, 718-593-4018
Mama Carmela's, 49-14 30th Ave, Woodside, NY 11377, 718-728-2026
Gina's Pizzeria, 6024 Queens Blvd, Woodside, NY 11377, 917-983-6649
69 Pizzeria, 4917 69th St, Woodside, NY 11377, 717-800-2751
Donato's Restaurant & Pizzeria, 50-22 39Th Ave, Woodside, NY 11377, 718-736-2788
Giovanni, 4559 47th St, Woodside, NY 11377, 717-276-8249
I Love NY Pizza, 444 S Broadway, Yonkers, NY 10705, 914-491-3016
Euroltalia Pizza, 2229 Central Park Ave, Yonkers, NY 10710, 914-768-4471
Scotti's Pizza, 558 Kimball Ave, Yonkers, NY 10704, 914-595-2444
Casa Mia, 132 Bronx River Rd, Yonkers, NY 10704, 914-825-4509
Famous Peppino's Pizza, 600 Tuckahoe Rd, Yonkers, NY 10710, 914-996-6847
Midland Ave Pizza, 853 Midland Ave, Yonkers, NY 10704, 914-418-3059
Marcellino's Pizzeria & Restaurant, 328 Tuckahoe Rd, Yonkers, NY 10710, 914-996-4726
Louie & Johnnie's Restaurant, 887 Yonkers Ave, Yonkers, NY 10704, 914-502-3018
Mickey's Pizzeria, 136 Lake Ave, Yonkers, NY 10703, 914-770-3075
A & V Pizzeria, 281 Morsemere Ave, Yonkers, NY 10703, 914-313-3176
New York Pizza Company, 3399 Crompond Rd, Yorktown Heights, NY 10598, 914-352-5166
Maria's Pizza, 2041 Saw Mill River Rd, Yorktown Heights, NY 10598, 914-935-7188
Yorktown Pizza & Pasta, 2013 Crompond Rd , Yorktown Heights, NY 10598, 914-595-5797
Nonna's Pizzeria, 367 Downing Dr, Yorktown Heights, NY 10598, 914-326-0699
Mima's Pizzeria & Restaurant, 368 Downing Dr, Yorktown Heights, NY 10598, 914-266-9612
Furci's, 334 Underhill Ave, Yorktown Heights, NY 10598, 914-221-1877
Oscar's Italian Restaurant, 2026 Saw Mill River Rd, Yorktown Heights, NY 10598, 914-218-6938
